id	nk	ref_sk	hyp_sk	whole_chrF3	dialect_specific_chrF3	dialect_invariant_chrF3	combined_dialect_aware_chrF3	ref_dialect_spans	hyp_dialect_spans	ref_invariant	hyp_invariant
1	열린 창문으로 손을 디밀어 창가림을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 디밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	열린 창문으로 손을 내밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	89.26389271088038	100.0	78.83793429652562	93.65138028895768	커튼 들여다볼 수 있을 만큼 남겨 놓았소	커튼 들여다볼 수 있을 만큼 남겨 놓았소	열린 창문으로 손을 디밀어 을 치고 안을   틈새를 .	열린 창문으로 손을 내밀어 을 치고 안을   틈새를 .
2	밤에 초불을 켜둔다는것은 위험한 일이에요!	밤에 촛불을 켜둔다는 것은 위험한 일이에요!	밤에 초불을 켜둔다는것은 위험한 일이에요!	84.30001679034186	73.45238095238096	100.0	81.41666666666667	촛불 켜둔다는 것	초불 켜둔다는것	밤에 을 은 위험한 일이에요!	밤에 을 은 위험한 일이에요!
3	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 외쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	82.97912518450275	54.33333333333334	100.0	68.03333333333335	외쳤습니다	웨쳤습니다	그리고 이사야는 이스라엘에 관해서 이렇게 .	그리고 이사야는 이스라엘에 관해서 이렇게 .
4	푸께는 너무 일찌기 소원이 이루어졌다고 생각할만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 여자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만, 알고 보면 그 여자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만, 알고 보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	90.36296302700134	82.21679106561498	100.0	87.55175374593048	일찍 생각할 만큼 여자 여러 번 알고 보면 보내고 있었다는 것	일찍 생각할 만큼 녀자 녀자 여러 번 알고 보면 보내고 있었다는 것	푸께는 너무  소원이 이루어졌다고  의 사랑을 받고 행복을 느낀 일이  있었지만,  그 는 번번이 다른 남자에게도 사랑을 이다.	푸께는 너무  소원이 이루어졌다고  의 사랑을 받고 행복을 느낀 일이  있었지만,  그 는 번번이 다른 남자에게도 사랑을 이다.
5	나는 요우에 깐 하불밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 이불 밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 하불 밖으로 내민 그의 손을 잡았다.	80.05243910429668	26.000000000000007	100.0	48.2	요 위 이불 밖	요 위 하불 밖	나는 에 깐 으로 내민 그의 손을 잡았다.	나는 에 깐 으로 내민 그의 손을 잡았다.
6	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되였다.	처음에는 쥴리앙의 우스꽝스러운 점을 적당히 대하며 심심풀이로 삼고 있었지만, 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	80.790385179996	68.62304394054965	83.5711624086206	73.10747948097094	우스꽝스러운 점 삼고 있었지만 안 가서 고쳐 주는 데 되었다	우습강스런데를 삼고 있었지만 안 가서 고쳐 주는 데 되었다	처음에는 쥴리앙의 을 적당히 대하며 심심풀이로 , 얼마  이 젊은이의 그릇된 견해를 조금씩  더 흥미를 느끼게 .	처음에는 쥴리앙의  적당히 대하며 심심풀이로  얼마  이 젊은이의 그릇된 견해를 조금씩  더 흥미를 느끼게 .
7	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팡이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	82.97912518450275	22.22222222222222	100.0	45.55555555555556	지팡이	지팽이	너는 아론에게 를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 를 들어 땅의 먼지를 치라고 일러라.
8	또 번제로 드릴 수양을 끌어오게 하였다.	또 번제로 드릴 숫양을 끌어오게 하였다.	또 번제로 드릴 수양을 끌어오게 하였다.	74.09744667097607	25.0	100.0	47.5	숫양	수양	또 번제로 드릴 을 끌어오게 하였다.	또 번제로 드릴 을 끌어오게 하였다.
9	처음에는 어째서 그렇게 수집어하였을가?	처음에는 어째서 그렇게 수줍어하였을까?	처음에는 왜 그렇게 수집어하였을까?	41.808828963865466	49.28571428571429	34.4011663176573	44.82034989529719	수줍어하였을까	수집어하였을까	처음에는 어째서 그렇게 ?	처음에는 왜 그렇게 ?
10	존의 안해가 문을 열었다.	존의 아내가 문을 열었다.	존의 안해가 문을 열었다.	55.594035594035596	0.0	100.0	30.000000000000004	아내	안해	존의 가 문을 열었다.	존의 가 문을 열었다.
