id	nk	ref_sk	hyp_sk	whole_chrF3	dialect_specific_chrF3	dialect_invariant_chrF3	combined_dialect_aware_chrF3	ref_dialect_spans	hyp_dialect_spans	ref_invariant	hyp_invariant
1	열린 창문으로 손을 디밀어 창가림을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 디밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	열린 창문으로 손을 내밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	89.26	100.0	88.56	98.83	커튼	커튼	열린 창문으로 손을 디밀어 을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 내밀어을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.
2	밤에 초불을 켜둔다는것은 위험한 일이에요!	밤에 촛불을 켜둔다는 것은 위험한 일이에요!	밤에 초불을 켜둔다는것은 위험한 일이에요!	84.3	0.0	100.0	8.33	촛	초	밤에 불을 켜둔다는것은 위험한 일이에요!	밤에불을 켜둔다는것은 위험한 일이에요!
3	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 외쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	82.98	0.0	100.0	3.45	외	웨	그리고 이사야는 이스라엘에 관해서 이렇게 쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게쳤습니다.
4	푸께는 너무 일찌기 소원이 이루어졌다고 생각할만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 여자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 여자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	90.23	11.11	100.0	18.15	찍 여  여	찍   녀   녀	푸께는 너무 일 소원이 이루어졌다고 생각할만큼 자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	푸께는 너무 일소원이 이루어졌다고 생각할만큼자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.
5	나는 요우에 깐 하불밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 이불 밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 하불 밖으로 내민 그의 손을 잡았다.	80.05	25.0	100.0	35.0	위이	위 하	나는 요에 깐 불밖으로 내민 그의 손을 잡았다.	나는 요에 깐불밖으로 내민 그의 손을 잡았다.
6	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되였다.	처음에는 쥴리앙의 우스꽝스러운 점을 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	85.79	2.42	100.0	15.29	꽝스러운 점을    었	습강런데를     었	처음에는 쥴리앙의 우스 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되다.	처음에는 쥴리앙의 우스적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되다.
7	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팡이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	82.98	0.0	100.0	3.23	팡	팽	너는 아론에게 지이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지이를 들어 땅의 먼지를 치라고 일러라.
8	또 번제로 드릴 수양을 끌어오게 하였다.	또 번제로 드릴 숫양을 끌어오게 하였다.	또 번제로 드릴 수양을 끌어오게 하였다.	74.1	0.0	100.0	4.55	숫	수	또 번제로 드릴 양을 끌어오게 하였다.	또 번제로 드릴양을 끌어오게 하였다.
9	처음에는 어째서 그렇게 수집어하였을가?	처음에는 어째서 그렇게 수줍어하였을까?	처음에는 왜 그렇게 수집어하였을까?	41.81	25.0	59.32	28.27	줍까	집까	처음에는 어째서 그렇게 수어하였을?	처음에는 왜 그렇게 수어하였을?
10	존의 안해가 문을 열었다.	존의 아내가 문을 열었다.	존의 안해가 문을 열었다.	55.59	0.0	100.0	14.29	아내	안해	존의 가 문을 열었다.	존의가 문을 열었다.
11	래일 일을 자랑하지 말아라.	내일 일을 자랑하지 말아라.	래일 일을 자랑하지 말아라.	89.11	0.0	100.0	6.67	내	래	일 일을 자랑하지 말아라.	일 일을 자랑하지 말아라.
