NK	SK
열린 창문으로 손을 디밀어 창가림을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 디밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.
밤에 초불을 켜둔다는것은 위험한 일이에요!	밤에 촛불을 켜둔다는 것은 위험한 일이에요!
그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 외쳤습니다.
푸께는 너무 일찌기 소원이 이루어졌다고 생각할만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	"푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 여자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 여자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다."
나는 요우에 깐 하불밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 이불 밖으로 내민 그의 손을 잡았다.
처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되였다.	"처음에는 쥴리앙의 우스꽝스러운 점을 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다."
너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팡이를 들어 땅의 먼지를 치라고 일러라.
또 번제로 드릴 수양을 끌어오게 하였다.	또 번제로 드릴 숫양을 끌어오게 하였다.
처음에는 어째서 그렇게 수집어하였을가?	처음에는 어째서 그렇게 수줍어하였을까?
존의 안해가 문을 열었다.	존의 아내가 문을 열었다.
래일 일을 자랑하지 말아라.	내일 일을 자랑하지 말아라.
나는 걸상을 뛰여넘기도 하고 책상밑으로 기여나가기도 하면서 난로옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기어나가기도 하면서 난로 옆까지 갔다.
아침이 되여 날이 밝았을때 그들은 모두 시체로 발견되였다.	아침이 되어 날이 밝았을 때 그들은 모두 시체로 발견되었다.
그 녀자는 홀로 원탁곁에 서서 사진첩우에 몸을 굽히고 점잖게 들여다보고있었는데 마치 누가 곁으로 오기를 기다리는듯싶었다.	그 여자는 홀로 원탁 곁에 서서 사진첩 위에 몸을 굽히고 점잖게 들여다보고 있었는데 마치 누가 곁으로 오기를 기다리는 듯 싶었다.
그 이름은 땅우에서 영영 사라지고말리라.	그 이름은 땅 위에서 영영 사라지고 말리라.
인내에 관한 이러한 설교를 나는 리해할수 없었다.	인내에 관한 이러한 설교를 나는 이해할 수 없었다.
이딸리아 거긴 정말 경치가 아름다와요.	이탈리아 거긴 정말 경치가 아름다워요.
들도 거기 사는것도 다 함께 기뻐뛰여라.	들도 거기 사는 것도 다 함께 기뻐 뛰어라.
그 수자는 사람의 이름을 표시하는것으로서 그 수는 666입니다.	그 숫자는 사람의 이름을 표시하는 것으로서 그 수는 666입니다.
그래서 마부는 인차 돌아왔다.	그래서 마부는 이내 돌아왔다.
