id	nk	ref_sk	hyp_sk	whole_chrF3	dialect_specific_chrF3	dialect_invariant_chrF3	combined_dialect_aware_chrF3	ref_dialect_spans	hyp_dialect_spans	ref_invariant	hyp_invariant
1	열린 창문으로 손을 디밀어 창가림을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 디밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	열린 창문으로 손을 내밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	89.26	100.0	77.46	86.66	커튼을 들여다볼 수 있을 만큼 남겨 놓았소	커튼을 들여다볼 수 있을 만큼 남겨 놓았소	열린 창문으로 손을 디밀어  치고 안을   틈새를 .	열린 창문으로 손을 내밀어  치고 안을   틈새를 .
2	밤에 초불을 켜둔다는것은 위험한 일이에요!	밤에 촛불을 켜둔다는 것은 위험한 일이에요!	밤에 초불을 켜둔다는것은 위험한 일이에요!	84.3	83.41	100.0	93.09	촛불을 켜둔다는 것은	초불을 켜둔다는것은	밤에   위험한 일이에요!	밤에   위험한 일이에요!
3	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 외쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	82.98	54.33	100.0	92.13	외쳤습니다	웨쳤습니다	그리고 이사야는 이스라엘에 관해서 이렇게 .	그리고 이사야는 이스라엘에 관해서 이렇게 .
4	푸께는 너무 일찌기 소원이 이루어졌다고 생각할만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 여자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 여자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	90.23	73.67	100.0	90.88	일찍 생각할 만큼 여자의 여러 번 알고 보면 여자는 보내고 있었다는 것이다	일찍 생각할 만큼 녀자의 여러 번 알고 보면 녀자는 보내고 있었다는 것이다	푸께는 너무  소원이 이루어졌다고   사랑을 받고 행복을 느낀 일이  있었지만  그  번번이 다른 남자에게도 사랑을 .	푸께는 너무  소원이 이루어졌다고   사랑을 받고 행복을 느낀 일이  있었지만  그  번번이 다른 남자에게도 사랑을 .
5	나는 요우에 깐 하불밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 이불 밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 하불 밖으로 내민 그의 손을 잡았다.	80.05	38.15	100.0	79.38	요 위에 이불 밖으로	요 위에 하불 밖으로	나는  깐  내민 그의 손을 잡았다.	나는  깐  내민 그의 손을 잡았다.
6	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되였다.	처음에는 쥴리앙의 우스꽝스러운 점을 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	85.79	65.86	100.0	88.75	우스꽝스러운 점을 삼고 있었지만 안 가서 고쳐 주는 데 되었다	우습강스런데를 삼고 있었지만 안 가서 고쳐 주는 데 되었다	처음에는 쥴리앙의  적당히 대하며 심심풀이로  얼마  이 젊은이의 그릇된 견해를 조금씩  더 흥미를 느끼게 .	처음에는 쥴리앙의  적당히 대하며 심심풀이로  얼마  이 젊은이의 그릇된 견해를 조금씩  더 흥미를 느끼게 .
7	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팡이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	82.98	27.08	100.0	90.59	지팡이를	지팽이를	너는 아론에게  들어 땅의 먼지를 치라고 일러라.	너는 아론에게  들어 땅의 먼지를 치라고 일러라.
8	또 번제로 드릴 수양을 끌어오게 하였다.	또 번제로 드릴 숫양을 끌어오게 하였다.	또 번제로 드릴 수양을 끌어오게 하였다.	74.1	38.89	100.0	91.67	숫양을	수양을	또 번제로 드릴  끌어오게 하였다.	또 번제로 드릴  끌어오게 하였다.
9	처음에는 어째서 그렇게 수집어하였을가?	처음에는 어째서 그렇게 수줍어하였을까?	처음에는 왜 그렇게 수집어하였을까?	41.81	49.29	34.4	39.36	수줍어하였을까	수집어하였을까	처음에는 어째서 그렇게 ?	처음에는 왜 그렇게 ?
10	존의 안해가 문을 열었다.	존의 아내가 문을 열었다.	존의 안해가 문을 열었다.	55.59	11.11	100.0	80.95	아내가	안해가	존의  문을 열었다.	존의  문을 열었다.
11	래일 일을 자랑하지 말아라.	내일 일을 자랑하지 말아라.	래일 일을 자랑하지 말아라.	89.11	25.0	100.0	90.0	내일	래일	일을 자랑하지 말아라.	일을 자랑하지 말아라.
12	나는 걸상을 뛰여넘기도 하고 책상밑으로 기여나가기도 하면서 난로옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기어나가기도 하면서 난로 옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기여나가기도 하면서 난로 옆까지 갔다.	88.56	80.05	100.0	89.57	뛰어넘기도 책상 밑으로 기어나가기도 난로 옆까지	뛰어넘기도 책상 밑으로 기여나가기도 난로 옆까지	나는 걸상을  하고   하면서  갔다.	나는 걸상을  하고   하면서  갔다.
13	아침이 되여 날이 밝았을때 그들은 모두 시체로 발견되였다.	아침이 되어 날이 밝았을 때 그들은 모두 시체로 발견되었다.	아침이 되여 날이 밝았을 때 그들은 모두 시체로 발견되었다.	84.61	76.96	100.0	91.62	되어 밝았을 때 발견되었다	되여 밝았을 때 발견되었다	아침이  날이  그들은 모두 시체로 .	아침이  날이  그들은 모두 시체로 .
14	그 녀자는 홀로 원탁곁에 서서 사진첩우에 몸을 굽히고 점잖게 들여다보고있었는데 마치 누가 곁으로 오기를 기다리는듯싶었다.	그 여자는 홀로 원탁 곁에 서서 사진첩 위에 몸을 굽히고 점잖게 들여다보고 있었는데 마치 누가 곁으로 오기를 기다리는 듯 싶었다.	그 녀자는 홀로 원탁 곁에 서서 사진첩위에 몸을 굽히고 점잖게 들여다보고 있었는데 마치 누가 곁으로 오기를 기다리는 듯 싶었다.	96.35	96.21	100.0	98.21	여자는 원탁 곁에 사진첩 위에 들여다보고 있었는데 기다리는 듯 싶었다	녀자는 원탁 곁에 사진첩위에 들여다보고 있었는데 기다리는 듯 싶었다	그  홀로  서서  몸을 굽히고 점잖게  마치 누가 곁으로 오기를 .	그  홀로  서서  몸을 굽히고 점잖게  마치 누가 곁으로 오기를 .
15	그 이름은 땅우에서 영영 사라지고말리라.	그 이름은 땅 위에서 영영 사라지고 말리라.	그 이름은 땅 우에서 영원히 사라지고 말리라.	55.21	76.96	48.34	63.84	땅 위에서 사라지고 말리라	땅 우에서 사라지고 말리라	그 이름은  영영 .	그 이름은  영원히 .
